system:index;NDVI_mean;month;year
0_0;2837.4988993139395;2.0;2000.0
1_0;4074.755629884512;3.0;2000.0
2_0;4354.038645123137;4.0;2000.0
3_0;5867.642405266188;5.0;2000.0
4_0;8034.488569250597;6.0;2000.0
5_0;7927.306938240462;7.0;2000.0
6_0;6303.781839748647;8.0;2000.0
7_0;4952.5527830615365;9.0;2000.0
8_0;7620.324121766509;10.0;2000.0
9_0;7905.954704453318;11.0;2000.0
10_0;5758.415603382557;12.0;2000.0
11_0;4162.4922595766775;1.0;2001.0
12_0;3322.789448374616;2.0;2001.0
13_0;5411.573090541217;3.0;2001.0
14_0;6112.680127807811;4.0;2001.0
15_0;7846.994988138225;5.0;2001.0
16_0;2601.214081657367;6.0;2001.0
17_0;6317.602695077897;7.0;2001.0
18_0;4214.129638732741;8.0;2001.0
19_0;5874.072160835515;9.0;2001.0
20_0;7063.583648578358;10.0;2001.0
21_0;6851.451324029142;11.0;2001.0
22_0;6064.108180697735;12.0;2001.0
23_0;4830.689104276637;1.0;2002.0
24_0;3548.3825543040716;2.0;2002.0
25_0;5947.994400393246;3.0;2002.0
26_0;6849.160098171215;4.0;2002.0
27_0;7249.466669516332;5.0;2002.0
28_0;7383.290980073654;6.0;2002.0
29_0;4829.586996943718;7.0;2002.0
30_0;4363.739536358255;8.0;2002.0
31_0;6302.272891776552;9.0;2002.0
32_0;8272.310129873817;10.0;2002.0
33_0;7297.955505923747;11.0;2002.0
34_0;6826.1724336916695;12.0;2002.0
35_0;5389.848778559055;1.0;2003.0
36_0;4405.490147256828;2.0;2003.0
37_0;3717.8536265646435;3.0;2003.0
38_0;6522.104750404289;4.0;2003.0
39_0;7841.180836663886;5.0;2003.0
40_0;7231.247209101847;6.0;2003.0
41_0;7473.19342153069;7.0;2003.0
42_0;4816.656019577241;8.0;2003.0
43_0;7276.649800166695;9.0;2003.0
44_0;8147.289106413886;10.0;2003.0
45_0;7894.919514558258;11.0;2003.0
46_0;5974.201696267633;12.0;2003.0
47_0;4981.0582544330155;1.0;2004.0
48_0;4278.11349889931;2.0;2004.0
49_0;4296.112508638064;3.0;2004.0
50_0;6765.436983051564;4.0;2004.0
51_0;7229.42371070122;5.0;2004.0
52_0;6891.04488946831;6.0;2004.0
53_0;5992.687152250878;7.0;2004.0
54_0;5202.778537690475;8.0;2004.0
55_0;5916.565923614517;9.0;2004.0
